distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,time
22.9,5.3,45,20.5,7,SP98,0,0,0,30.53
162.7,5.5,75,23.0,1,SP98,0,0,0,130.16
4.9,6.5,26,21.0,1,SP98,0,0,0,11.31
11.8,4.7,36,21.0,4,SP98,0,0,0,19.67
16.6,5.1,56,21.0,7,SP98,0,0,0,17.79
12.4,5.7,37,21.0,7,SP98,0,0,0,20.11
15.9,5.4,25,21.0,7,SP98,0,0,0,38.16
5.1,8.7,21,23.5,5,SP98,0,0,0,14.57
22.4,4.9,66,20.5,7,SP98,0,0,0,20.36
31.1,4.7,42,20.5,7,SP98,0,0,0,44.43
4.9,6.3,27,20.5,3,SP98,0,0,0,10.89
11.8,5.1,26,23.0,4,SP98,0,1,0,27.23
22.9,6.0,42,23.0,4,SP98,0,1,0,32.71
12.4,4.6,38,23.0,1,SP98,0,1,0,19.58
12.9,5.8,40,23.0,4,SP98,0,0,0,19.35
11.8,5.1,43,23.0,0,SP98,0,0,0,16.47
12.2,5.8,58,23.0,2,SP98,0,0,0,12.62
24.8,4.6,55,23.0,3,SP98,0,0,0,27.05
14.2,5.6,24,23.0,8,SP98,0,0,0,35.5
11.8,4.6,38,23.0,0,SP98,0,1,0,18.63
12.2,6.3,57,23.0,0,SP98,0,1,0,12.84
24.7,5.5,56,25.0,1,SP98,0,0,0,26.46
6.8,4.3,46,24.0,2,SP98,0,0,0,8.87
17.3,5.6,37,21.5,1,SP98,0,0,0,28.05
11.8,4.3,44,21.5,-3,SP98,0,0,0,16.09
15.9,5.7,46,21.5,5,SP98,0,0,0,20.74
5.1,6.4,39,21.5,4,SP98,0,0,0,7.85
16.1,4.5,33,21.5,6,SP98,0,0,0,29.27
11.8,4.5,43,21.5,3,SP98,0,0,0,16.47
4.2,6.0,26,21.5,5,SP98,0,0,0,9.69
17.4,5.1,30,21.5,5,SP98,0,0,0,34.8
23.5,6.0,25,21.5,5,SP98,0,1,0,56.4
11.8,4.5,38,21.5,5,SP98,0,1,0,18.63
12.3,6.1,61,21.5,10,SP98,0,1,0,12.1
16.1,5.4,24,21.5,7,E10,0,1,0,40.25
11.8,4.3,40,21.5,10,E10,0,1,0,17.7
12.3,5.4,58,21.5,13,E10,0,0,0,12.72
12.4,4.3,49,21.5,17,E10,0,0,0,15.18
7.0,5.2,25,21.5,17,E10,0,0,0,16.8
11.8,4.1,37,21.5,10,E10,0,0,0,19.14
20.1,4.4,41,21.5,18,E10,0,0,0,29.41
20.8,4.5,45,21.5,10,E10,0,0,0,27.73
1.7,10.8,14,21.5,10,E10,0,1,0,7.29
35.9,4.7,45,21.5,12,E10,0,0,0,47.87
36.9,4.8,52,21.5,5,E10,0,0,0,42.58
16.8,4.0,46,21.5,8,E10,0,0,0,21.91
9.9,5.0,28,21.5,9,E10,0,0,0,21.21
22.9,4.6,61,21.5,7,E10,0,1,0,22.52
17.3,5.0,61,21.5,6,E10,1,1,0,17.02
11.8,4.3,37,21.5,7,E10,0,0,0,19.14
36.6,5.2,80,21.5,7,E10,0,1,0,27.45
44.9,4.7,62,21.5,8,E10,0,0,0,43.45
11.8,4.2,34,21.5,9,E10,0,1,0,20.82
21.6,5.3,44,21.5,9,E10,0,1,0,29.45
39.4,5.3,60,21.5,9,E10,0,1,0,39.4
5.1,8.1,39,21.5,4,E10,0,0,0,7.85
26.6,4.8,38,21.5,7,E10,0,0,0,42.0
53.2,5.1,71,21.5,2,E10,0,0,0,44.96
18.9,4.4,53,21.5,2,E10,0,0,0,21.4
43.5,5.0,80,21.5,3,E10,0,0,0,32.62
6.1,6.3,26,21.5,5,E10,0,0,0,14.08
16.4,4.8,49,21.5,5,E10,0,0,0,20.08
12.3,6.1,40,21.5,6,E10,0,0,0,18.45
21.1,4.6,36,21.5,8,E10,0,0,0,35.17
21.1,4.8,43,21.5,7,E10,0,0,0,29.44
22.7,4.7,55,21.5,6,E10,0,0,0,24.76
44.4,4.8,38,21.5,8,E10,0,0,0,70.11
35.8,4.4,51,21.5,6,E10,0,0,0,42.12
11.8,4.9,44,21.5,0,E10,0,0,0,16.09
26.2,4.9,42,21.5,6,E10,0,0,0,37.43
40.6,4.4,44,21.0,3,E10,0,0,0,55.36
12.4,5.3,38,21.0,-5,E10,0,0,0,19.58
14.1,5.3,47,21.0,-3,E10,0,0,0,18.0
58.7,4.8,75,21.0,0,E10,0,0,0,46.96
16.2,5.2,29,21.0,0,E10,0,0,0,33.52
12.3,4.9,50,22.5,0,E10,0,0,0,14.76
12.3,7.1,52,22.5,0,E10,1,1,0,14.19
12.4,5.2,51,22.5,1,E10,0,0,0,14.59
31.8,4.7,59,22.5,3,E10,0,0,0,32.34
12.3,5.1,55,22.5,8,E10,0,0,0,13.42
51.6,5.0,73,22.5,12,E10,0,0,0,42.41
38.6,4.6,44,22.5,10,E10,0,0,0,52.64
12.3,4.8,41,22.5,7,E10,0,0,0,18.0
81.2,4.4,69,22.0,13,E10,0,0,0,70.61
130.3,4.6,85,22.0,12,E10,0,0,0,91.98
